km,price
17200,22010.0
59715,15632.85
241304,21270.96
151811,18263.89
164705,13857.95
61214,29362.86
148867,822.3299999999999
154462,52621.38
119694,15476.06
177522,41319.78
33598,15940.02
205143,37787.57
24005,11855.95
53914,23068.86
105645,20730.55
91806,10018.94
50198,38828.020000000004
136397,35438.03
240730,35098.7
90175,48572.25
120213,3473.869999999999
96873,36663.270000000004
62502,25765.98
214720,12668.8
112886,57562.14
74945,54081.55
249005,2707.9500000000007
19921,8951.79
136412,23281.879999999997
106735,-4011.3500000000004
20072,34938.28
182450,33502.5
1505,-809.0499999999993
132610,16547.9
165383,45821.17
17422,23987.78
176239,13184.61
66207,5980.93
70934,15247.66
191891,51428.09
196192,36069.08
220995,22397.05
142091,36552.09
52299,42562.01
117221,14919.79
187189,38597.11
43999,30538.010000000002
65724,2105.76
236638,7020.619999999999
71537,41805.63
75440,41612.6
133282,16508.18
121780,46621.2
34512,30931.879999999997
136602,41395.979999999996
249124,31424.760000000002
173593,19421.07
59920,42117.8
22534,37156.66
220313,48200.869999999995
6220,6070.799999999999
81714,36362.86
71415,50057.85
56387,-5376.870000000001
136398,51912.020000000004
204639,30344.61
146126,12314.74
211942,34068.58
120008,3089.92
226155,11609.45
48428,18305.72
209216,49224.84
63506,38355.94
194334,6040.66
249496,31522.04
143217,24624.83
150008,43751.92
191868,53231.32
226109,28316.91
171451,15030.49
120253,5433.469999999999
140945,24816.55
133284,30524.16
34638,23969.620000000003
98093,41907.07
175303,4652.969999999999
180073,14227.27
104676,14953.24
230757,37538.43
137387,47614.13
194013,43254.869999999995
67369,21730.309999999998
245158,28230.42
129806,47459.94
39108,3738.92
79604,38695.96
185181,44164.19
242431,17581.690000000002
67400,5547.0
27547,36958.53
54297,-1243.9699999999993
26623,26268.77
16375,21410.25
40450,45034.5
93035,15770.65
212495,42165.05
1949,19734.510000000002
5886,13925.14
2046,18189.54
97837,45178.63
2133,43300.67
12700,25367.0
151289,-3282.8899999999994
98719,38893.81
34046,25903.54
203532,18886.68
111379,53890.21
232150,-2298.5
192794,5203.0599999999995
16291,11691.09
65613,30766.870000000003
222741,8129.59
238319,20104.809999999998
40955,25796.45
158985,34431.15
27066,17280.34
4068,36265.32
76297,26765.03
201540,17668.6
149827,43424.729999999996
170070,35045.3
129870,38318.3
225706,38685.94
230155,34814.45
77628,49837.72
119678,236.21999999999935
127368,9223.32
13111,22886.89
142797,34593.03
211340,22057.6
35206,4590.9400000000005
115500,18595.0
41583,7611.17
144027,51317.729999999996
46925,56241.75
103487,-3567.870000000001
224049,-7809.49
174477,16749.23
124850,56034.5
35694,678.0599999999995
83925,38433.75
186384,39210.16
179503,34698.97
162129,38557.71
160316,40236.84
97119,2467.8099999999995
175911,42174.89
226870,16694.3
195919,51853.81
20952,6307.48
103728,52769.72
5821,39064.79
193738,4261.619999999999
22315,-1839.1499999999996
148891,3514.09
125421,14172.79
142814,44695.86
191056,14336.44
193978,33149.22
224049,48160.51
27521,34520.79
58562,32675.379999999997
2461,51445.39
162047,2314.5300000000007
74754,29439.46
248307,10763.93
161150,2954.5
112554,38725.46
175519,23521.809999999998
65124,25045.760000000002
22897,25938.03
9027,8135.73
179949,19662.510000000002
112461,32341.39
57998,5449.02
101387,27616.129999999997
49832,48647.68
545,15362.55
220238,42829.619999999995
95586,42622.14
172249,41227.51
16287,11751.13
34667,25961.33
175214,31532.86
44288,13119.12
120433,39188.67
37414,8520.86
4120,32846.8
129706,33849.94
48404,6174.959999999999
40018,57396.82
5221,12667.79
192221,37231.79
161885,-11572.85
213408,41559.92
42728,26668.72
78136,16655.64
18298,43940.020000000004
80962,4636.379999999999
135715,54884.85
138315,27881.85
78634,24191.66
232311,45596.89
233850,9732.5
116268,59005.32
40132,-2706.3199999999997
139343,21141.57
190035,44095.65
59693,3777.0699999999997
168251,43764.49
238721,17942.79
247826,45883.74
8157,46938.43
125657,47033.43
205552,13925.48
219139,32832.61
172163,20054.37
85848,40818.520000000004
69376,13513.24
156368,30571.32
42016,31484.84
167400,12350.0
179018,19891.82
195999,43121.01
38730,56503.7
101707,47723.93
66347,28868.53
54854,46721.46
98565,15837.35
129151,15435.49
190795,26217.05
56890,32234.1
84710,8920.9
163130,33445.7
114309,3028.91
37336,1041.6399999999994
195717,8245.83
171913,9955.869999999999
148521,30291.79
31253,33327.47
186079,3240.209999999999
78431,11673.69
89986,24049.14
192788,23982.12
12691,25414.09
9706,47992.94
184149,12799.51
116199,32143.010000000002
117815,43342.85
214963,29417.37
96037,8776.63
151922,2356.7800000000007
93816,21787.84
47911,17036.89
31439,20083.61
236069,14872.31
234737,11508.630000000001
124585,-2053.8500000000004
176501,42668.99
219067,48015.33
13604,37386.96
136064,38081.36
84514,53084.86
33771,17959.29
73560,47314.4
210805,39556.95
65941,37018.59
102930,14848.7
45479,-2258.790000000001
242267,12466.33
221426,56460.74
216096,42692.04
160399,45730.01
150149,14545.51
23568,6154.32
178133,19685.67
188762,35617.38
106166,8441.34
43036,12237.64
190087,45365.13
241181,16990.190000000002
24695,7825.049999999999
65014,25051.86
146360,31648.4
129894,-5892.9400000000005
192013,33332.869999999995
122140,8766.6
228932,30460.68
76718,42631.82
163727,12439.73
205980,-3526.7999999999993
177761,27003.39
128956,25010.440000000002
39288,16402.120000000003
58051,29516.489999999998
139210,15888.9
35436,16964.64
10886,2398.1399999999994
209148,42764.520000000004
1977,11675.23
210047,38547.53
156976,21175.239999999998
2958,-1355.58
243901,26160.989999999998
98438,15734.62
225894,47639.06
95031,12618.69
229989,26172.11
239969,39950.31
17241,20871.59
183104,5367.959999999999
169094,29560.059999999998
88487,32142.129999999997
164294,20074.059999999998
245395,38520.05
41091,-10655.91
22760,38791.4
198702,17948.98
135336,15784.64
94843,48937.57
41307,42840.93
119257,28049.43
89568,29568.32
127499,12020.01
117431,2412.6900000000005
212773,38448.270000000004
177310,2195.8999999999996
18515,3160.8500000000004
237479,17582.21
195216,14780.84
94357,19390.43
127022,38226.78
223936,30677.64
14128,47194.72
136520,27488.8
234010,6366.9
22940,25482.6
214819,-13757.19
4026,19717.739999999998
86760,7444.4
165994,49437.06
16883,29394.17
189053,18427.47
104369,-2892.6900000000005
101543,26299.57
76881,50685.19
190662,43049.38
228060,31820.4
12319,7440.8099999999995
233384,-4547.84
219459,24732.41
90615,34392.85
151449,3504.51
142013,55921.869999999995
172723,27305.77
156566,31940.34
69092,6362.08
191501,2529.99
46973,4495.27
88397,33207.03
211073,49245.270000000004
87622,35866.78
20989,11422.11
222556,24683.440000000002
112800,8374.0
85522,-4006.2199999999993
28078,7745.219999999999
249719,24469.809999999998
127702,18371.98
87902,16132.98
